sample,silo,Time,CHOYP_AAEL_AAEL008069.2.2|m.60920,CHOYP_ACT.5.27|m.15585,CHOYP_ACT.6.27|m.15622,CHOYP_ADD.3.5|m.17639,CHOYP_BRAFLDRAFT_118602.2.5|m.17419,CHOYP_BRAFLDRAFT_127065.6.7|m.30727,CHOYP_BRAFLDRAFT_80496.6.10|m.29014,CHOYP_CO6A5.1.6|m.5838,CHOYP_contig_041958|m.48141,CHOYP_DNAH5.2.2|m.61452,CHOYP_DYHC.1.3|m.10664,CHOYP_EF1A.2.4|m.50858,CHOYP_EF2.5.5|m.39855,CHOYP_FASN.3.4|m.60278,CHOYP_FLNA.2.6|m.11845,CHOYP_FLNC.2.5|m.37450,CHOYP_HMCN1.23.44|m.42684,CHOYP_HSP7D.2.3|m.34782,CHOYP_LOC100197130.2.2|m.39076,CHOYP_LOC100377364.2.2|m.52803,CHOYP_LOC100497129.6.8|m.41866,CHOYP_LOC100533447.2.3|m.44496,CHOYP_LOC100648516.1.1|m.64902,CHOYP_LOC101169658.2.3|m.20752,CHOYP_LOC752782.1.1|m.53937,CHOYP_LOC754102.1.1|m.57578,CHOYP_LRP5.1.3|m.18025,CHOYP_MATN1.2.5|m.45361,CHOYP_MATN1.3.5|m.46206,CHOYP_MBCDH18.1.1|m.34344,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.1.9|m.1097,CHOYP_MYSP.8.9|m.44813,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_PAN2.1.1|m.44691,CHOYP_PHUM_PHUM226120.2.7|m.2274,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_SPTCA.1.2|m.1905,CHOYP_SPTCA.2.2|m.25615,CHOYP_TAGL3.1.1|m.31031,CHOYP_TBA.1.6|m.12217,CHOYP_TBB4B.1.7|m.12262,CHOYP_TBB4B.7.7|m.63980,CHOYP_TITIN.6.19|m.31591,CHOYP_TXND3.2.4|m.21415,CHOYP_VOLCADRAFT_93060.2.2|m.26741
S3T0,3,0,10,0,0,28,23.5,93,19.5,88.5,15,133,169.5,268.5,65,3.5,2,209.5,0.5,68.5,35.5,24,77,74.5,11,1,0,92,44,186,71.5,273.5,254,195.5,86,102,104.5,80,23,179,67.5,56.5,50.5,41,58.5,114.5,372.5,0,42,110.5
S3T11,3,11,41,0,0,38,40,18.5,27,166.5,33.5,24.5,44,358,7,8,102.5,80.5,81,113.5,84.5,63,0,129.5,34,100,0,25,35,226,164.5,74,293.5,168.5,54.5,100,114.5,60,21.5,245.5,64.5,150,10.5,47,2,114,239,12.5,8.5,44.5
S3T13,3,13,30,0,83,35,27,14,14.5,104.5,21.5,31.5,60,294.5,39.5,7.5,1.5,254.5,42,72,60.5,53,0,101,40.5,76,0,9.5,36.5,175.5,140,124,243.5,144.5,23.5,114,93,0,200.5,42.5,72,0,133,30,28,129.5,157.5,0,0,27
S3T15,3,15,37,0,79,18.5,25.5,20,10.5,110.5,24,19,48.5,288,43,11.5,3.5,257.5,29,93.5,54.5,62,0,108.5,23.5,131,0,0,38.5,189,168.5,88,223.5,114,18.5,113.5,96,0,104.5,130.5,71.5,142,75,35,20.5,62.5,211,0,0,28.5
S3T3,3,3,7,189.5,0,0,30.5,157.5,21.5,110,16.5,112.5,149,295.5,42,30.5,1,222,2,78.5,44,28,88,76,21,2.5,104,25.5,46.5,156,84,247.5,302.5,216,19.5,133.5,93.5,113.5,13.5,250,69,59.5,74.5,44.5,75,136.5,301.5,0,39,102
S3T5,3,5,12.5,0,0,0,45,90.5,54,157,37.5,61,83,332,61.5,25.5,155.5,91,112.5,105.5,99,67,0,96,32,17.5,177,25.5,53,202.5,139,202.5,310,145,11.5,125.5,109,0,20,251,72.5,146.5,6.5,42.5,27,222.5,169.5,0,0,50
S3T7,3,7,24.5,0,86.5,20.5,52.5,31.5,85,157.5,41.5,60.5,83.5,294.5,54,23.5,76.5,171.5,113.5,69,91,69.5,0,112.5,44.5,54,0,51,41,179,154,203,288,137,43.5,130.5,134,103,35,239.5,74.5,148,5,35,19,227.5,165,0,0,40
S3T9,3,9,28,0,0,38,33,21.5,58,157.5,30.5,41.5,60,298,35,27.5,4.5,245,104.5,98,99.5,68.5,0,111,56,60.5,0,20.5,35,203,176.5,157.5,275.5,143.5,23,127.5,110,0,19.5,215,71,138.5,11,39.5,14.5,171,146,15,0,43.5
S9T0,9,0,10,0.1,0,28,23.5,93,19.5,88.5,15,133,169.5,268.5,65,3.5,2,209.5,0.5,68.5,35.5,24,0.1,74.5,11,1,0,92,44,186,71.5,273.5,254,195.5,86,102,104.5,80,23,179,67.5,56.5,50.5,41,58.5,114.5,372.5,0,0.1,110.5
S9T11,9,11,59.5,0.1,0,45.5,73,12.5,20,151,33,39,63,325,8.5,3.5,118,83.5,71.5,95,94.5,74.5,0.1,126.5,45,118.5,0,58,47.5,206.5,176.5,53.5,344,189,77.5,101,127.5,188,52,278,84.5,157.5,7.5,64,6,227.5,108.5,22.5,0.1,34
S9T13,9,13,48.5,0.1,0,41,88.5,8,14.5,158,53,34.5,52.5,341,26.5,4,190.5,130,94,123.5,89.5,90.5,0.1,133,83,157,103.5,42,73.5,199.5,180.5,92.5,379,193.5,132,0,154.5,0,22,307,108.5,174,9,64,0,224.5,130.5,64.5,0.1,30.5
S9T15,9,15,57,0.1,91.5,22,86,9,11.5,168.5,60.5,24.5,43,349,14,2.5,91.5,223.5,54,125,83,83.5,0.1,134,62,127,0,43,54,229.5,175.5,24,359.5,188.5,25,131.5,146,146.5,24,299.5,92,164.5,10,59.5,12.5,216,117.5,0,0.1,27
S9T3,9,3,10,0.1,0,41,41.5,138.5,21.5,134.5,21.5,57,78.5,349,46,20,154.5,91,86,86,81,55,0.1,86,28.5,10.5,219,69.5,60,211,120,189,318,172.5,21.5,69.5,102,93,22.5,258,76,125.5,67.5,47,4.5,223,174,0,0.1,54
S9T5,9,5,27.5,0.1,0,19.5,39,33,39.5,147.5,38,45,79.5,319.5,48,7,3,268,106.5,99,104.5,72,0.1,99.5,25,38,117.5,42.5,51,188,155.5,170.5,298.5,147,52,139,102.5,0,25.5,244.5,80,128.5,11,38.5,17,95,221.5,18.5,0.1,32
S9T7,9,7,21.5,0.1,0,18,38.5,14,38,127.5,43.5,40.5,70,281.5,34.5,7,155.5,88.5,98,98,89.5,59.5,0.1,110,32.5,76.5,0,28,52,160.5,154.5,143,259.5,146.5,9,125.5,92.5,0,34,201.5,74.5,125,10,32,20,119.5,146,15,0.1,26.5
S9T9,9,9,44.5,0.1,0,44.5,49.5,10,33,168.5,35.5,15,36.5,356.5,7.5,9.5,86.5,191.5,93.5,113.5,97,69,0.1,123,66,105.5,73.5,33.5,47,236.5,182.5,58.5,325,199.5,80.5,117,142.5,60,24.5,276,79,164.5,77,51.5,10.5,150,183,0,0.1,33.5
