"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"CHOYP_BRAFLDRAFT_76825.1.1m.2818",8.4,0.00054214,3.2659,0.025992,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_ERF1.1.1m.37540",8.3419,0.00056172,3.2505,0.026776,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_CSK2B.1.1m.37285",8.2585,0.00059121,3.2283,0.028022,"15 - 11; 3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 7 - 15"
"CHOYP_GPSM2.1.1m.58301",8.2424,0.0005971,3.224,0.028141,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_BRAFLDRAFT_271463.1.1m.62869",8.2193,0.0006057,3.2177,0.028262,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 9"
"CHOYP_BRAFLDRAFT_123986.1.1m.47284",8.2173,0.00060644,3.2172,0.028262,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 5 - 15; 7 - 15; 5 - 9"
"CHOYP_contig_001129m.1188",8.1985,0.00061352,3.2122,0.028377,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_114106.1.1m.28307",8.1927,0.00061572,3.2106,0.028377,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_LOC100875585.1.1m.8714",8.1649,0.00062644,3.2031,0.028412,"3 - 11; 7 - 11; 9 - 11; 3 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 7 - 5"
"CHOYP_BRAFLDRAFT_124962.1.1m.57433",8.1636,0.00062695,3.2028,0.028412,"7 - 11; 7 - 13; 7 - 15; 7 - 3; 7 - 5; 7 - 9"
"CHOYP_LOC100741250.1.2m.48951",8.16,0.00062836,3.2018,0.028412,"13 - 11; 15 - 11; 15 - 13; 13 - 3; 13 - 5; 15 - 3; 15 - 5; 15 - 7; 15 - 9"
"CHOYP_YBOXH.2.4m.3352",8.1556,0.00063009,3.2006,0.028412,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_TRI56.4.4m.61739",8.1349,0.00063826,3.195,0.028626,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_PHUM_PHUM184790.1.1m.41715",8.1116,0.00064759,3.1887,0.028889,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC661043.1.1m.11553",8.0288,0.00068203,3.1662,0.030263,"3 - 11; 7 - 11; 9 - 11; 3 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 7 - 5; 9 - 5"
"CHOYP_CP080.1.1m.24911",7.9564,0.00071389,3.1464,0.031402,"15 - 11; 3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_BRAFLDRAFT_80496.6.10m.29014",7.9535,0.00071522,3.1456,0.031402,"5 - 11; 7 - 11; 9 - 11; 5 - 13; 7 - 13; 9 - 13; 5 - 15; 7 - 15; 9 - 15; 5 - 3; 7 - 3; 7 - 9"
"CHOYP_LOC100881430.1.1m.4201",7.9348,0.00072372,3.1404,0.031609,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 5 - 3; 5 - 9; 7 - 9"
"CHOYP_BRAFLDRAFT_127065.5.7m.28848",7.885,0.00074697,3.1267,0.032445,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_BRAFLDRAFT_59014.1.1m.59709",7.8773,0.00075064,3.1246,0.032445,"13 - 11; 3 - 11; 5 - 11; 7 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_LOC100168368.1.1m.18551",7.8651,0.00075649,3.1212,0.032529,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_NDK7.1.1m.64883",7.8503,0.00076365,3.1171,0.032555,"3 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_129759.2.2m.30082",7.8478,0.0007649,3.1164,0.032555,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_MRP1.10.10m.64931",7.8,0.00078865,3.1031,0.033165,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100375122.1.1m.52296",7.7922,0.00079259,3.1009,0.033165,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_SH3L1.2.5m.9176",7.7866,0.00079547,3.0994,0.033165,"13 - 11; 15 - 11; 3 - 11; 13 - 5; 13 - 7; 13 - 9; 15 - 5; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC580840.1.1m.45392",7.7785,0.00079959,3.0971,0.033165,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_contig_040962m.46595",7.7778,0.00079998,3.0969,0.033165,"15 - 11; 9 - 11; 15 - 13; 15 - 3; 15 - 5; 15 - 7; 15 - 9; 9 - 5; 9 - 7"
"CHOYP_GNPI2.1.1m.55897",7.7653,0.00080644,3.0934,0.033165,"15 - 11; 3 - 11; 5 - 11; 7 - 11; 9 - 11; 15 - 13; 3 - 13; 5 - 13; 15 - 9; 3 - 9; 5 - 9"
"CHOYP_QCR2.1.1m.35613",7.7641,0.00080706,3.0931,0.033165,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9"
"CHOYP_contig_033976m.38613",7.7412,0.00081905,3.0867,0.033493,"5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 5 - 3; 5 - 9"
"CHOYP_LOC581508.1.1m.26966",7.7222,0.00082912,3.0814,0.033739,"15 - 11; 15 - 13; 15 - 3; 15 - 5; 15 - 7; 15 - 9"
"CHOYP_contig_039460m.44676",7.6894,0.00084691,3.0722,0.034296,"5 - 11; 7 - 11; 9 - 11; 5 - 13; 7 - 13; 9 - 13; 5 - 15; 7 - 15; 9 - 15; 7 - 3; 7 - 5; 7 - 9"
"CHOYP_FHOD3.2.2m.44837",7.6667,0.00085948,3.0658,0.034448,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_67258.9.18m.34120",7.6667,0.00085948,3.0658,0.034448,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_PKHL1.3.3m.42452",7.6603,0.00086307,3.064,0.034448,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_013751m.15674",7.632,0.00087905,3.056,0.034919,"3 - 11; 9 - 11; 3 - 13; 9 - 13; 3 - 15; 9 - 15; 3 - 5; 3 - 7; 9 - 5"
"CHOYP_UBQL4.1.1m.37429",7.6101,0.00089173,3.0498,0.035122,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100486063.2.9m.5918",7.6086,0.00089258,3.0494,0.035122,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_LOC101073830.1.1m.42117",7.5741,0.00091294,3.0396,0.035709,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_125724.1.1m.30781",7.5688,0.00091607,3.0381,0.035709,"3 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 7 - 5; 7 - 9"
"CHOYP_TSP_02835.1.1m.26375",7.5587,0.00092219,3.0352,0.035709,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_BRAFLDRAFT_201924.1.1m.30855",7.5547,0.00092462,3.034,0.035709,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_ISCW_ISCW016212.1.2m.2539",7.5287,0.00094049,3.0266,0.036155,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_ECH1.1.1m.29110",7.4502,0.00099051,3.0041,0.037901,"11 - 15; 7 - 11; 9 - 11; 3 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 9 - 5"
"CHOYP_LOC732900.1.1m.62814",7.4433,0.00099501,3.0022,0.037901,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_BRAFLDRAFT_130097.1.1m.12458",7.4321,0.0010024,2.999,0.037901,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9"
"CHOYP_contig_018956m.22217",7.4296,0.0010041,2.9982,0.037901,"5 - 11; 7 - 11; 5 - 13; 7 - 13; 5 - 15; 7 - 15; 5 - 3; 7 - 3; 5 - 9; 7 - 9"
"CHOYP_LOC100186360.1.2m.50759",7.4048,0.0010208,2.9911,0.038358,"7 - 11; 7 - 13; 7 - 15; 7 - 3; 7 - 5; 7 - 9"
"CHOYP_QCR2.1.1m.35612",7.397,0.0010261,2.9888,0.038384,"3 - 11; 7 - 11; 9 - 11; 3 - 13; 7 - 13; 9 - 13; 3 - 15; 7 - 15; 9 - 15; 7 - 5"
"CHOYP_LOC100378619.2.2m.36047",7.3867,0.0010331,2.9859,0.038474,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9"
"CHOYP_BRAFLDRAFT_126603.1.1m.31078",7.3741,0.0010418,2.9822,0.038626,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9"
"CHOYP_contig_023945m.27245",7.349,0.0010595,2.9749,0.038995,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_MTHR.1.1m.54596",7.3466,0.0010611,2.9742,0.038995,"5 - 11; 7 - 11; 9 - 11; 5 - 13; 7 - 13; 9 - 13; 7 - 15; 5 - 3; 7 - 3; 9 - 3; 7 - 5"
"CHOYP_BRAFLDRAFT_67662.1.1m.3006",7.3077,0.0010891,2.9629,0.039849,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_BRAFLDRAFT_90187.1.1m.30393",7.2991,0.0010954,2.9604,0.039903,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_APLP.1.2m.5955",7.2881,0.0011035,2.9572,0.040025,"3 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 7 - 15; 3 - 5; 3 - 9; 7 - 5; 7 - 9"
"CHOYP_HMCN2.6.12m.33452",7.2723,0.0011153,2.9526,0.040144,"13 - 11; 3 - 11; 5 - 11; 7 - 11; 13 - 15; 5 - 13; 5 - 15; 7 - 15; 5 - 3; 5 - 9; 7 - 9"
"CHOYP_LOC100367787.1.1m.52250",7.2708,0.0011164,2.9522,0.040144,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9"
"CHOYP_COX1.1.15m.3193",7.25,0.0011322,2.9461,0.040536,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_LOC100376857.1.7m.30171",7.2176,0.0011573,2.9366,0.041257,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_contig_047190m.55575",7.2074,0.0011653,2.9336,0.041278,"15 - 11; 15 - 13; 15 - 3; 15 - 5; 15 - 7; 15 - 9; 7 - 3; 9 - 3; 7 - 5"
"CHOYP_BRAFLDRAFT_125880.3.3m.26918",7.2042,0.0011678,2.9326,0.041278,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_LOC576698.1.1m.32335",7.1744,0.0011917,2.9238,0.041872,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9"
"CHOYP_LOC100113671.1.1m.18491",7.1707,0.0011946,2.9228,0.041872,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100642680.1.1m.6611",7.1042,0.00125,2.9031,0.043631,"3 - 11; 5 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_RFOX2.1.2m.24118",7.0825,0.0012687,2.8966,0.044098,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_003460m.3916",7.076,0.0012744,2.8947,0.044111,"13 - 11; 15 - 11; 13 - 3; 13 - 5; 13 - 7; 13 - 9; 15 - 3; 15 - 5; 15 - 7; 15 - 9"
"CHOYP_LOC100749506.1.1m.8951",7.0346,0.0013111,2.8824,0.045192,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_246978.1.1m.6916",7.0287,0.0013164,2.8806,0.045192,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_LOC100374155.1.1m.56570",7.0166,0.0013275,2.877,0.045385,"3 - 11; 3 - 13; 7 - 13; 3 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100372340.3.3m.59986",6.9895,0.0013525,2.8688,0.046053,"11 - 13; 11 - 15; 11 - 3; 11 - 5; 11 - 9; 7 - 13; 7 - 15; 7 - 3; 7 - 5; 7 - 9"
"CHOYP_LOC100910862.2.2m.45085",6.9782,0.0013632,2.8654,0.046226,"15 - 11; 5 - 11; 7 - 11; 9 - 11; 15 - 13; 5 - 13; 7 - 13; 9 - 13; 5 - 15; 7 - 15; 5 - 3; 7 - 3"
"CHOYP_LOC100177459.1.2m.48730",6.9683,0.0013726,2.8625,0.04624,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_PHUM_PHUM500930.1.1m.21562",6.9661,0.0013747,2.8618,0.04624,"7 - 11; 9 - 11; 13 - 15; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 7 - 5; 9 - 5"
"CHOYP_contig_021858m.25098",6.9556,0.0013847,2.8586,0.046307,"7 - 11; 7 - 13; 7 - 15; 7 - 3; 7 - 5; 7 - 9"
"CHOYP_BRAFLDRAFT_71030.1.1m.31477",6.9524,0.0013878,2.8577,0.046307,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100367356.1.1m.29181",6.9414,0.0013984,2.8544,0.046476,"3 - 11; 5 - 11; 3 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100372505.2.2m.26614",6.8917,0.0014476,2.8394,0.047755,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_DBT.1.1m.4866",6.8903,0.001449,2.8389,0.047755,"3 - 11; 7 - 11; 3 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 7 - 5; 7 - 9"
"CHOYP_contig_003670m.4147",6.8853,0.001454,2.8374,0.047755,"13 - 11; 15 - 11; 13 - 3; 13 - 5; 15 - 3; 15 - 5; 15 - 7; 15 - 9; 7 - 3"
"CHOYP_DVIR_GJ11267.1.1m.29991",6.852,0.0014883,2.8273,0.048689,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_LOC100369935.1.1m.40124",6.8397,0.0015012,2.8236,0.048919,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9"
"CHOYP_LOC100367205.1.1m.24472",6.8303,0.0015111,2.8207,0.049048,"3 - 11; 7 - 11; 3 - 13; 7 - 13; 3 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9; 7 - 9"
"CHOYP_LOC100371750.2.2m.64949",6.8152,0.0015272,2.8161,0.049203,"3 - 11; 7 - 11; 9 - 11; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 9 - 5"
"CHOYP_BRAFLDRAFT_114859.1.1m.37271",6.8148,0.0015276,2.816,0.049203,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_036899m.41515",6.8065,0.0015366,2.8134,0.04923,"3 - 11; 5 - 11; 9 - 11; 3 - 13; 5 - 13; 9 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_PTN11.4.4m.62828",6.8031,0.0015403,2.8124,0.04923,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_NEMVEDRAFT_V1G166546.1.1m.10454",6.7879,0.0015569,2.8077,0.04957,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_NEMVEDRAFT_V1G157638.1.1m.31214",6.7696,0.0015771,2.8022,0.049846,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 5 - 9"
"CHOYP_FUTSC.4.4m.59503",6.7692,0.0015775,2.802,0.049846,"5 - 11; 7 - 11; 7 - 13; 7 - 15; 7 - 3; 7 - 5; 7 - 9"
