sample_GO,p.val,adj.p.val,sample_GO_freq,all_GO_freq
GO:0000226,0.251627857,1,1,14
GO:0000278,0.307228922,1,1,18
GO:0001501,0.074433284,1,1,3
GO:0001525,0.222164113,1,1,12
GO:0001527,0.092153656,1,1,4
GO:0001656,0.05636469,1,1,2
GO:0001666,0.092153656,1,1,4
GO:0001868,0.05636469,1,1,2
GO:0001953,0.037940985,1,1,1
GO:0003073,0.092153656,1,1,4
GO:0003697,0.074433284,1,1,3
GO:0003774,0.222164113,1,1,12
GO:0003924,0.42872528,1,1,28
GO:0004312,0.037940985,1,1,1
GO:0004313,0.037940985,1,1,1
GO:0004314,0.037940985,1,1,1
GO:0004315,0.037940985,1,1,1
GO:0004316,0.037940985,1,1,1
GO:0004320,0.037940985,1,1,1
GO:0004415,0.10953256,1,1,5
GO:0004674,0.333450753,1,1,20
GO:0005178,0.175764027,1,1,9
GO:0005179,0.05636469,1,1,2
GO:0005200,0.006069627,0.716215927,4,34
GO:0005201,0.071425095,1,2,21
GO:0005509,0.259069695,1,3,89
GO:0005516,0.471095781,1,1,32
GO:0005524,1,1,2,112
GO:0005525,0.005515135,0.656301088,4,33
GO:0005576,0.522158908,1,1,131
GO:0005604,0.222164113,1,1,12
GO:0005615,0.133817072,1,3,63
GO:0005623,0.10953256,1,1,5
GO:0005737,0.29884332,1,6,202
GO:0005788,0.29373106,1,1,17
GO:0005802,0.05636469,1,1,2
GO:0005865,0.237039141,1,1,13
GO:0005874,0.031807073,1,4,58
GO:0005887,0.307228922,1,1,18
GO:0006006,0.05636469,1,1,2
GO:0006089,0.037940985,1,1,1
GO:0006400,0.037940985,1,1,1
GO:0006633,0.037940985,1,1,1
GO:0006936,0.265935807,1,1,15
GO:0007017,0.001965568,0.2378337,4,24
GO:0007155,0.572015464,1,1,43
GO:0007507,0.237039141,1,1,13
GO:0008201,0.01808047,1,2,9
GO:0008307,0.29373106,1,1,17
GO:0008344,0.12657662,1,1,6
GO:0008593,0.037940985,1,1,1
GO:0008659,0.037940985,1,1,1
GO:0009612,0.037940985,1,1,1
GO:0009888,0.037940985,1,1,1
GO:0010185,0.05636469,1,1,2
GO:0010737,0.175764027,1,1,9
GO:0014850,0.037940985,1,1,1
GO:0014911,0.037940985,1,1,1
GO:0016295,0.037940985,1,1,1
GO:0016296,0.037940985,1,1,1
GO:0016879,0.037940985,1,1,1
GO:0018105,0.206997117,1,1,11
GO:0018107,0.191532383,1,1,10
GO:0019901,0.382936198,1,1,24
GO:0030016,0.191532383,1,1,10
GO:0030017,0.307228922,1,1,18
GO:0030018,0.519640849,1,1,37
GO:0030023,0.05636469,1,1,2
GO:0030198,0.060794966,1,2,19
GO:0030214,0.10953256,1,1,5
GO:0030246,0.251627857,1,1,14
GO:0031012,0.118828694,1,2,29
GO:0031177,0.037940985,1,1,1
GO:0031430,0.333450753,1,1,20
GO:0031594,0.143292327,1,1,7
GO:0031672,0.251627857,1,1,14
GO:0032100,0.037940985,1,1,1
GO:0032355,0.05636469,1,1,2
GO:0032982,0.159686049,1,1,8
GO:0033627,0.10953256,1,1,5
GO:0034199,0.05636469,1,1,2
GO:0035095,0.12657662,1,1,6
GO:0035582,0.05636469,1,1,2
GO:0035583,0.092153656,1,1,4
GO:0040017,0.159686049,1,1,8
GO:0042593,0.05636469,1,1,2
GO:0042802,0.417608981,1,1,27
GO:0042806,0.05636469,1,1,2
GO:0043010,0.10953256,1,1,5
GO:0043687,0.05636469,1,1,2
GO:0044267,0.074433284,1,1,3
GO:0044344,0.037940985,1,1,1
GO:0044877,0.206997117,1,1,11
GO:0045088,0.05636469,1,1,2
GO:0045214,0.346184677,1,1,21
GO:0045671,0.05636469,1,1,2
GO:0045989,0.143292327,1,1,7
GO:0046872,0.360994154,1,2,64
GO:0047117,0.037940985,1,1,1
GO:0047451,0.037940985,1,1,1
GO:0048048,0.092153656,1,1,4
GO:0048050,0.05636469,1,1,2
GO:0050839,0.143292327,1,1,7
GO:0051015,0.471095781,1,1,32
GO:0051371,0.251627857,1,1,14
GO:0051782,0.12657662,1,1,6
GO:0060298,0.159686049,1,1,8
GO:0062023,0.138158726,1,2,32
GO:0071307,0.037940985,1,1,1
GO:0071356,0.037940985,1,1,1
GO:0071560,0.003551796,0.426215502,2,3
GO:0071688,0.279968431,1,1,16
GO:0102131,0.037940985,1,1,1
GO:0102132,0.037940985,1,1,1
GO:1900025,0.037940985,1,1,1
GO:1903670,0.12657662,1,1,6
GO:1904209,0.037940985,1,1,1
GO:1990138,0.037940985,1,1,1
GO:1990314,0.05636469,1,1,2
GO:1990523,0.037940985,1,1,1
GO:2001205,0.05636469,1,1,2