GO,p.value,p.adj
GO:0005634,4.32300026449624e-06,0.00101590506215662
GO:0005524,0.000720494916292429,0.169316305328721
GO:0004063,0.000654718048874822,0.153858741485583
GO:0004556,0.00163559018540937,0.384363693571201
GO:0006850,0.000654718048874822,0.153858741485583
GO:0003735,1.29132897146373e-06,0.000303462308293977
GO:0004345,0.000981835980773718,0.230731455481824
GO:0005794,0.00481418987704466,1
GO:0005576,8.75758704138053e-05,0.0205803295472442
GO:0001520,0.00163559018540937,0.384363693571201
GO:0005186,0.00391868349757702,0.920890621930599
GO:0001103,0.00359300708217652,0.844356664311481
GO:0005737,3.3382976052666e-06,0.00078449993723765
GO:0004064,0.000981835980773718,0.230731455481824
GO:0031305,0.00196222666825399,0.461123267039688
GO:0005762,9.431057835046e-05,0.0221629859123581
GO:0005536,0.0026150189196223,0.61452944611124
GO:0007165,0.00149473546271733,0.351262833738572
GO:0001934,6.90996125119899e-05,0.0162384089403176
GO:0005654,8.66891024264222e-06,0.00203719390702092
GO:0004181,0.0026150189196223,0.61452944611124
GO:0016430,0.000654718048874822,0.153858741485583
GO:0000187,1.45562890709722e-05,0.00342072793167846
GO:0050833,0.000654718048874822,0.153858741485583
GO:0004674,4.3358062579787e-05,0.0101891447062499
GO:0007155,0.00172983339961305,0.406510848909068
GO:0030488,0.00489475528918845,1
GO:0006397,0.000871398203382897,0.204778577794981
GO:0006913,0.00326717091706277,0.767785165509752
GO:0103025,0.00163559018540937,0.384363693571201
GO:0005666,0.00294117489773884,0.691176100968626
GO:0005829,1.19980486377865e-05,0.00281954142987983
GO:0097224,0.00228870287804521,0.537845176340624
GO:0005925,0.000733164354412883,0.172293623287027
GO:0006508,0.000432307674988636,0.10159230362233
GO:0007016,0.00424420026767584,0.997387062903823
GO:0045944,0.000145292922439675,0.0341438367733237
GO:0004708,2.40777118625252e-06,0.000565826228769342
GO:0005669,0.0026150189196223,0.61452944611124
GO:0044613,0.00163559018540937,0.384363693571201
GO:0006098,0.0026150189196223,0.61452944611124
GO:0030173,0.0026150189196223,0.61452944611124
GO:0006520,0.00359300708217652,0.844356664311481
GO:0004713,0.000111284177180043,0.0261517816373102
GO:0005672,0.000654718048874822,0.153858741485583
GO:0048471,0.00413248380137101,0.971133693322188
GO:0006139,0.00326717091706277,0.767785165509752
GO:0006915,5.84372373889048e-05,0.0137327507863926
GO:0006695,0.0026150189196223,0.61452944611124
GO:0032991,0.00212444131805507,0.499243709742941
GO:0006383,0.00391868349757702,0.920890621930599
GO:0006739,0.00130879332458626,0.307566431277772
GO:0035035,0.00228870287804521,0.537845176340624
GO:0030574,0.00196222666825399,0.461123267039688
GO:0010875,0.00294117489773884,0.691176100968626
GO:0006384,0.000654718048874822,0.153858741485583
GO:0006740,0.00228870287804521,0.537845176340624
GO:0070208,0.00391868349757702,0.920890621930599
GO:0098592,0.00130879332458626,0.307566431277772
GO:0019372,0.000981835980773718,0.230731455481824
GO:0043231,7.14046329910153e-05,0.0167800887528886
GO:0072734,0.0026150189196223,0.61452944611124
GO:2000045,0.00196222666825399,0.461123267039688
GO:0102009,0.000981835980773718,0.230731455481824
GO:0019439,0.000654718048874822,0.153858741485583
GO:0009051,0.00163559018540937,0.384363693571201
GO:0006468,0.000762897057843058,0.179280808593119
GO:0017025,0.00228870287804521,0.537845176340624
GO:0031667,0.00359300708217652,0.844356664311481
GO:0097194,0.00489475528918845,1
GO:0042795,0.00326717091706277,0.767785165509752
GO:0032411,0.000981835980773718,0.230731455481824
GO:0097200,0.00359300708217652,0.844356664311481
GO:0010041,0.00130879332458626,0.307566431277772
GO:0007254,0.00196222666825399,0.461123267039688
GO:0034364,0.00196222666825399,0.461123267039688
GO:0010734,0.000981835980773718,0.230731455481824
GO:0007257,0.0026150189196223,0.61452944611124
GO:0023014,3.03417977595478e-07,7.13032247349373e-05
GO:0034366,0.000654718048874822,0.153858741485583
GO:0008545,0.000654718048874822,0.153858741485583
GO:0019322,0.00130879332458626,0.307566431277772
GO:0009611,0.00359300708217652,0.844356664311481
GO:0031098,2.6986982193122e-07,6.34194081538368e-05
GO:0046395,0.000654718048874822,0.153858741485583
GO:0032094,0.00130879332458626,0.307566431277772
GO:0032147,4.2038299326611e-07,9.87900034175358e-05
GO:0046434,0.000654718048874822,0.153858741485583
GO:0034115,0.00163559018540937,0.384363693571201
GO:0046470,0.000981835980773718,0.230731455481824
GO:0031116,0.00359300708217652,0.844356664311481
GO:0031435,0.00163559018540937,0.384363693571201
GO:0051099,0.000654718048874822,0.153858741485583
GO:0045415,0.000981835980773718,0.230731455481824
GO:0043249,0.00163559018540937,0.384363693571201
GO:0032839,0.00326717091706277,0.767785165509752
GO:0070542,0.0026150189196223,0.61452944611124
GO:0043523,0.00424420026767584,0.997387062903823
GO:0034393,0.000981835980773718,0.230731455481824
GO:0072562,0.00228870287804521,0.537845176340624
GO:0050679,0.00391868349757702,0.920890621930599
GO:0102007,0.000654718048874822,0.153858741485583
GO:0046390,0.000981835980773718,0.230731455481824
GO:0033138,0.00489475528918845,1
GO:0051247,0.000981835980773718,0.230731455481824
GO:1902617,0.000981835980773718,0.230731455481824
GO:0033148,0.00130879332458626,0.307566431277772
GO:0060761,0.000654718048874822,0.153858741485583
GO:0051156,0.00130879332458626,0.307566431277772
GO:0045740,0.00326717091706277,0.767785165509752
GO:0070375,0.000981835980773718,0.230731455481824
GO:0061052,0.00196222666825399,0.461123267039688
GO:0043408,0.00228870287804521,0.537845176340624
GO:0051770,0.000981835980773718,0.230731455481824
GO:0071363,0.0045695574967993,1
GO:1904879,0.000981835980773718,0.230731455481824
GO:0043507,0.00294117489773884,0.691176100968626
GO:0061049,0.00196222666825399,0.461123267039688
GO:0071499,0.000654718048874822,0.153858741485583
GO:2000378,0.00326717091706277,0.767785165509752
GO:0090051,0.00196222666825399,0.461123267039688
GO:0048012,0.00196222666825399,0.461123267039688
GO:0072709,0.000981835980773718,0.230731455481824
GO:2000342,0.000654718048874822,0.153858741485583
GO:2000672,0.000981835980773718,0.230731455481824
GO:2001240,0.00130879332458626,0.307566431277772
GO:0048754,0.00326717091706277,0.767785165509752
GO:0050770,0.00359300708217652,0.844356664311481
GO:0060244,0.00130879332458626,0.307566431277772
GO:0071437,0.00196222666825399,0.461123267039688
