sample_GO,sample_GO_freq,all_GO_freq,p.val,adj.p.val
GO:0000122,2,10,1,1
GO:0000139,1,9,0.699003303148349,1
GO:0000162,2,2,0.198490099680243,1
GO:0000165,1,1,0.378002047681732,1
GO:0000226,5,14,0.575223380795949,1
GO:0000235,1,2,0.509429720249899,1
GO:0000272,3,5,0.37809232469171,1
GO:0000278,5,18,1,1
GO:0000281,1,9,0.699003303148349,1
GO:0000287,3,6,0.410079837794898,1
GO:0000303,1,2,0.509429720249899,1
GO:0000413,1,2,0.509429720249899,1
GO:0000502,2,2,0.198490099680243,1
GO:0000790,2,3,0.286116232556928,1
GO:0000794,2,12,0.747577552200046,1
GO:0000902,1,1,0.378002047681732,1
GO:0000978,2,5,0.643928202073659,1
GO:0001501,1,3,1,1
GO:0001525,5,12,0.379326964599636,1
GO:0001527,1,4,1,1
GO:0001534,1,3,1,1
GO:0001641,2,2,0.198490099680243,1
GO:0001656,1,2,0.509429720249899,1
GO:0001658,3,5,0.37809232469171,1
GO:0001664,2,2,0.198490099680243,1
GO:0001666,2,4,0.613021177903129,1
GO:0001669,1,6,1,1
GO:0001736,2,3,0.286116232556928,1
GO:0001745,1,2,0.509429720249899,1
GO:0001822,2,3,0.286116232556928,1
GO:0001868,2,2,0.198490099680243,1
GO:0001895,2,2,0.198490099680243,1
GO:0001906,1,1,0.378002047681732,1
GO:0001917,1,1,0.378002047681732,1
GO:0001932,3,4,0.168152037555489,1
GO:0001933,1,1,0.378002047681732,1
GO:0001934,1,1,0.378002047681732,1
GO:0001942,1,1,0.378002047681732,1
GO:0001947,1,6,1,1
GO:0001953,1,1,0.378002047681732,1
GO:0002020,2,9,1,1
GO:0002039,2,3,0.286116232556928,1
GO:0002040,1,6,1,1
GO:0002064,3,3,0.113369740100724,1
GO:0002080,3,4,0.168152037555489,1
GO:0002081,3,4,0.168152037555489,1
GO:0002089,1,1,0.378002047681732,1
GO:0002175,1,1,0.378002047681732,1
GO:0002223,2,6,0.679044387803308,1
GO:0002376,1,1,0.378002047681732,1
GO:0002532,1,1,0.378002047681732,1
GO:0002576,5,10,0.336989460715677,1
GO:0003007,2,4,0.613021177903129,1
GO:0003073,2,4,0.613021177903129,1
GO:0003143,1,3,1,1
GO:0003190,1,3,1,1
GO:0003197,1,3,1,1
GO:0003300,2,7,1,1
GO:0003318,1,3,1,1
GO:0003334,1,1,0.378002047681732,1
GO:0003341,14,23,0.0239215958340206,1
GO:0003351,3,5,0.37809232469171,1
GO:0003356,1,2,0.509429720249899,1
GO:0003383,1,1,0.378002047681732,1
GO:0003429,7,7,0.0157982823686382,1
GO:0003677,1,16,0.227841917699824,1
GO:0003682,1,4,1,1
GO:0003697,1,3,1,1
GO:0003712,2,3,0.286116232556928,1
GO:0003723,5,28,0.523170870153694,1
GO:0003743,1,1,0.378002047681732,1
GO:0003746,4,8,0.294216121989374,1
GO:0003755,2,4,0.613021177903129,1
GO:0003774,6,12,0.243170849280692,1
GO:0003777,7,11,0.0804431162348917,1
GO:0003779,4,31,0.212441289061101,1
GO:0003810,1,3,1,1
GO:0003924,13,28,0.122559380724046,1
GO:0004017,1,3,1,1
GO:0004048,2,2,0.198490099680243,1
GO:0004054,1,1,0.378002047681732,1
GO:0004066,1,1,0.378002047681732,1
GO:0004096,1,4,1,1
GO:0004127,1,2,0.509429720249899,1
GO:0004175,2,3,0.286116232556928,1
GO:0004222,3,15,0.779995404344737,1
GO:0004252,1,4,1,1
GO:0004312,1,1,0.378002047681732,1
GO:0004313,1,1,0.378002047681732,1
GO:0004314,1,1,0.378002047681732,1
GO:0004315,1,1,0.378002047681732,1
GO:0004316,1,1,0.378002047681732,1
GO:0004320,1,1,0.378002047681732,1
GO:0004333,1,1,0.378002047681732,1
GO:0004415,3,5,0.37809232469171,1
GO:0004550,5,10,0.336989460715677,1
GO:0004556,1,3,1,1
GO:0004568,2,3,0.286116232556928,1
GO:0004601,1,3,1,1
GO:0004672,1,3,1,1
GO:0004674,6,20,0.81023005190414,1
GO:0004713,2,7,1,1
GO:0004784,1,4,1,1
GO:0004842,2,9,1,1
GO:0004866,2,3,0.286116232556928,1
GO:0004867,14,22,0.0136771371194765,1
GO:0005080,3,3,0.113369740100724,1
GO:0005088,1,1,0.378002047681732,1
GO:0005089,1,1,0.378002047681732,1
GO:0005123,1,1,0.378002047681732,1
GO:0005152,1,1,0.378002047681732,1
GO:0005176,1,4,1,1
GO:0005178,1,9,0.699003303148349,1
GO:0005179,1,2,0.509429720249899,1
GO:0005186,2,3,0.286116232556928,1
GO:0005198,3,16,0.780171611107021,1
GO:0005200,11,34,0.58373144879263,1
GO:0005201,10,21,0.128047270653758,1
GO:0005212,1,1,0.378002047681732,1
GO:0005225,1,1,0.378002047681732,1
GO:0005246,2,3,0.286116232556928,1
GO:0005506,1,5,1,1
GO:0005507,1,6,1,1
GO:0005509,30,89,0.308946316139182,1
GO:0005516,7,32,0.843885156750201,1
GO:0005518,1,1,0.378002047681732,1
GO:0005524,34,112,0.540122393638563,1
GO:0005525,16,33,0.0544460007297426,1
GO:0005546,2,3,0.286116232556928,1
GO:0005576,44,131,0.192551554523872,1
GO:0005579,1,1,0.378002047681732,1
GO:0005581,8,17,0.216609204063907,1
GO:0005589,2,2,0.198490099680243,1
GO:0005604,6,12,0.243170849280692,1
GO:0005615,30,63,0.0146874995002699,1
GO:0005623,3,5,0.37809232469171,1
GO:0005634,22,83,1,1
GO:0005654,8,37,0.71512871221788,1
GO:0005730,4,18,1,1
GO:0005737,45,202,0.304169547250234,1
GO:0005739,1,25,0.0284820261315817,1
GO:0005764,1,12,0.324357726790182,1
GO:0005777,1,8,0.694749454984601,1
GO:0005783,4,20,0.802846721170557,1
GO:0005788,5,17,0.796478451239959,1
GO:0005794,3,16,0.780171611107021,1
GO:0005796,2,8,1,1
GO:0005802,1,2,0.509429720249899,1
GO:0005813,4,17,1,1
GO:0005814,1,4,1,1
GO:0005815,2,5,0.643928202073659,1
GO:0005819,5,12,0.379326964599636,1
GO:0005829,21,99,0.369128494234759,1
GO:0005856,7,40,0.371327451359733,1
GO:0005858,3,6,0.410079837794898,1
GO:0005865,5,13,0.561095171922545,1
GO:0005874,34,58,0.000489154949949249,0.394748044609044
GO:0005875,1,2,0.509429720249899,1
GO:0005879,1,3,1,1
GO:0005881,1,1,0.378002047681732,1
GO:0005882,2,9,1,1
GO:0005884,2,7,1,1
GO:0005886,23,83,0.904767937047992,1
GO:0005887,8,18,0.231309384731752,1
GO:0005911,2,6,0.679044387803308,1
GO:0005912,1,5,1,1
GO:0005913,3,5,0.37809232469171,1
GO:0005918,1,2,0.509429720249899,1
GO:0005923,1,2,0.509429720249899,1
GO:0005925,4,24,0.489962504644393,1
GO:0005929,8,21,0.368187946554515,1
GO:0005930,11,26,0.224439486019322,1
GO:0005938,3,12,1,1
GO:0006006,1,2,0.509429720249899,1
GO:0006030,2,5,0.643928202073659,1
GO:0006032,2,4,0.613021177903129,1
GO:0006089,1,1,0.378002047681732,1
GO:0006099,1,1,0.378002047681732,1
GO:0006165,1,3,1,1
GO:0006174,2,2,0.198490099680243,1
GO:0006183,2,5,0.643928202073659,1
GO:0006186,2,2,0.198490099680243,1
GO:0006228,2,5,0.643928202073659,1
GO:0006241,2,5,0.643928202073659,1
GO:0006281,1,2,0.509429720249899,1
GO:0006310,1,1,0.378002047681732,1
GO:0006357,1,1,0.378002047681732,1
GO:0006400,1,1,0.378002047681732,1
GO:0006412,2,5,0.643928202073659,1
GO:0006414,4,5,0.101465037031654,1
GO:0006446,2,2,0.198490099680243,1
GO:0006468,1,6,1,1
GO:0006469,2,2,0.198490099680243,1
GO:0006511,1,4,1,1
GO:0006541,2,3,0.286116232556928,1
GO:0006633,1,1,0.378002047681732,1
GO:0006730,1,4,1,1
GO:0006756,2,2,0.198490099680243,1
GO:0006757,2,2,0.198490099680243,1
GO:0006869,1,1,0.378002047681732,1
GO:0006888,1,6,1,1
GO:0006909,1,2,0.509429720249899,1
GO:0006915,2,2,0.198490099680243,1
GO:0006919,1,1,0.378002047681732,1
GO:0006935,1,1,0.378002047681732,1
GO:0006936,5,15,0.593130080434995,1
GO:0006941,2,5,0.643928202073659,1
GO:0006953,1,2,0.509429720249899,1
GO:0006955,1,7,1,1
GO:0006957,1,1,0.378002047681732,1
GO:0006958,1,1,0.378002047681732,1
GO:0006974,1,1,0.378002047681732,1
GO:0006977,3,4,0.168152037555489,1
GO:0006978,2,3,0.286116232556928,1
GO:0006979,3,9,0.725441525243136,1
GO:0006986,2,3,0.286116232556928,1
GO:0007005,1,3,1,1
GO:0007009,3,8,0.709900591037051,1
GO:0007015,3,5,0.37809232469171,1
GO:0007017,11,24,0.14661870542742,1
GO:0007018,17,23,0.00275471598582114,1
GO:0007021,1,1,0.378002047681732,1
GO:0007026,1,5,1,1
GO:0007030,1,2,0.509429720249899,1
GO:0007041,1,1,0.378002047681732,1
GO:0007049,2,8,1,1
GO:0007076,2,8,1,1
GO:0007094,1,4,1,1
GO:0007098,1,1,0.378002047681732,1
GO:0007155,15,43,0.418988707457514,1
GO:0007156,5,8,0.165423049548296,1
GO:0007157,4,6,0.234638183039521,1
GO:0007160,1,9,0.699003303148349,1
GO:0007163,1,5,1,1
GO:0007165,1,6,1,1
GO:0007195,2,2,0.198490099680243,1
GO:0007216,2,2,0.198490099680243,1
GO:0007218,2,2,0.198490099680243,1
GO:0007219,3,7,0.449628111053269,1
GO:0007260,1,1,0.378002047681732,1
GO:0007274,1,4,1,1
GO:0007275,5,20,1,1
GO:0007283,2,18,0.283027849758574,1
GO:0007288,5,5,0.040965218408533,1
GO:0007313,1,1,0.378002047681732,1
GO:0007339,1,2,0.509429720249899,1
GO:0007354,1,1,0.378002047681732,1
GO:0007368,6,9,0.10519806298995,1
GO:0007378,1,1,0.378002047681732,1
GO:0007391,1,4,1,1
GO:0007398,1,2,0.509429720249899,1
GO:0007399,5,9,0.191400723827738,1
GO:0007409,1,7,1,1
GO:0007411,3,12,1,1
GO:0007420,2,2,0.198490099680243,1
GO:0007422,1,2,0.509429720249899,1
GO:0007424,1,1,0.378002047681732,1
GO:0007435,1,3,1,1
GO:0007443,1,2,0.509429720249899,1
GO:0007507,6,13,0.263887522964121,1
GO:0007517,2,11,1,1
GO:0007565,2,2,0.198490099680243,1
GO:0007596,1,1,0.378002047681732,1
GO:0007601,2,2,0.198490099680243,1
GO:0008015,1,4,1,1
GO:0008017,2,18,0.283027849758574,1
GO:0008057,1,1,0.378002047681732,1
GO:0008061,4,8,0.294216121989374,1
GO:0008066,2,2,0.198490099680243,1
GO:0008083,1,4,1,1
GO:0008091,2,6,0.679044387803308,1
GO:0008092,1,8,0.694749454984601,1
GO:0008104,1,5,1,1
GO:0008134,2,7,1,1
GO:0008201,2,9,1,1
GO:0008203,2,5,0.643928202073659,1
GO:0008233,3,7,0.449628111053269,1
GO:0008270,3,22,0.333421072085844,1
GO:0008284,1,6,1,1
GO:0008285,2,4,0.613021177903129,1
GO:0008289,1,9,0.699003303148349,1
GO:0008307,5,17,0.796478451239959,1
GO:0008344,3,6,0.410079837794898,1
GO:0008426,2,2,0.198490099680243,1
GO:0008543,2,4,0.613021177903129,1
GO:0008569,14,16,0.00239397538537071,1
GO:0008586,1,1,0.378002047681732,1
GO:0008593,1,1,0.378002047681732,1
GO:0008659,1,1,0.378002047681732,1
GO:0009142,1,3,1,1
GO:0009378,1,1,0.378002047681732,1
GO:0009432,1,1,0.378002047681732,1
GO:0009501,1,1,0.378002047681732,1
GO:0009507,1,2,0.509429720249899,1
GO:0009612,1,1,0.378002047681732,1
GO:0009615,2,8,1,1
GO:0009617,3,6,0.410079837794898,1
GO:0009877,1,1,0.378002047681732,1
GO:0009887,1,1,0.378002047681732,1
GO:0009888,1,1,0.378002047681732,1
GO:0009986,1,22,0.0679730800533129,1
GO:0010181,1,1,0.378002047681732,1
GO:0010185,2,2,0.198490099680243,1
GO:0010391,1,1,0.378002047681732,1
GO:0010457,1,2,0.509429720249899,1
GO:0010469,1,4,1,1
GO:0010506,2,2,0.198490099680243,1
GO:0010628,4,18,1,1
GO:0010629,3,9,0.725441525243136,1
GO:0010669,2,5,0.643928202073659,1
GO:0010737,3,9,0.725441525243136,1
GO:0010838,1,3,1,1
GO:0010839,1,2,0.509429720249899,1
GO:0010944,2,3,0.286116232556928,1
GO:0014047,1,1,0.378002047681732,1
GO:0014069,1,8,0.694749454984601,1
GO:0014722,1,1,0.378002047681732,1
GO:0014850,1,1,0.378002047681732,1
GO:0014911,1,1,0.378002047681732,1
GO:0015459,2,2,0.198490099680243,1
GO:0015485,1,2,0.509429720249899,1
GO:0015629,3,14,1,1
GO:0015630,1,3,1,1
GO:0015949,3,3,0.113369740100724,1
GO:0016018,2,4,0.613021177903129,1
GO:0016020,4,38,0.0853739547430745,1
GO:0016021,12,51,0.75900721225753,1
GO:0016028,1,1,0.378002047681732,1
GO:0016040,1,1,0.378002047681732,1
GO:0016052,1,2,0.509429720249899,1
GO:0016160,1,2,0.509429720249899,1
GO:0016199,1,4,1,1
GO:0016203,1,7,1,1
GO:0016266,2,6,0.679044387803308,1
GO:0016295,1,1,0.378002047681732,1
GO:0016296,1,1,0.378002047681732,1
GO:0016324,4,20,0.802846721170557,1
GO:0016327,2,3,0.286116232556928,1
GO:0016328,1,4,1,1
GO:0016332,1,1,0.378002047681732,1
GO:0016334,1,1,0.378002047681732,1
GO:0016339,1,2,0.509429720249899,1
GO:0016477,1,9,0.699003303148349,1
GO:0016479,2,2,0.198490099680243,1
GO:0016491,1,8,0.694749454984601,1
GO:0016528,1,2,0.509429720249899,1
GO:0016532,1,4,1,1
GO:0016538,1,1,0.378002047681732,1
GO:0016540,1,2,0.509429720249899,1
GO:0016607,1,3,1,1
GO:0016787,1,4,1,1
GO:0016879,1,1,0.378002047681732,1
GO:0016887,1,13,0.326140343413782,1
GO:0016985,1,1,0.378002047681732,1
GO:0017016,1,1,0.378002047681732,1
GO:0017024,1,1,0.378002047681732,1
GO:0017048,3,3,0.113369740100724,1
GO:0017137,1,1,0.378002047681732,1
GO:0017160,2,2,0.198490099680243,1
GO:0018105,3,11,1,1
GO:0018107,3,10,0.744080052508156,1
GO:0018149,1,4,1,1
GO:0019206,3,4,0.168152037555489,1
GO:0019221,2,5,0.643928202073659,1
GO:0019226,1,2,0.509429720249899,1
GO:0019233,1,1,0.378002047681732,1
GO:0019430,1,4,1,1
GO:0019538,1,1,0.378002047681732,1
GO:0019722,1,4,1,1
GO:0019730,1,2,0.509429720249899,1
GO:0019835,1,1,0.378002047681732,1
GO:0019894,2,2,0.198490099680243,1
GO:0019897,1,1,0.378002047681732,1
GO:0019899,3,19,0.600061134526402,1
GO:0019900,3,3,0.113369740100724,1
GO:0019901,7,24,0.826288503117279,1
GO:0019902,2,3,0.286116232556928,1
GO:0019904,2,3,0.286116232556928,1
GO:0020037,2,9,1,1
GO:0021591,5,9,0.191400723827738,1
GO:0021670,3,3,0.113369740100724,1
GO:0021943,2,2,0.198490099680243,1
GO:0021987,4,5,0.101465037031654,1
GO:0022008,2,4,0.613021177903129,1
GO:0030016,4,10,0.51220789348795,1
GO:0030017,5,18,1,1
GO:0030018,10,37,1,1
GO:0030020,5,12,0.379326964599636,1
GO:0030023,1,2,0.509429720249899,1
GO:0030030,4,7,0.260439282653402,1
GO:0030036,3,7,0.449628111053269,1
GO:0030049,2,5,0.643928202073659,1
GO:0030054,2,6,0.679044387803308,1
GO:0030154,8,28,0.838934340097937,1
GO:0030168,2,2,0.198490099680243,1
GO:0030197,1,6,1,1
GO:0030198,11,19,0.044626645006076,1
GO:0030212,1,2,0.509429720249899,1
GO:0030214,3,5,0.37809232469171,1
GO:0030216,1,4,1,1
GO:0030240,2,9,1,1
GO:0030241,3,10,0.744080052508156,1
GO:0030246,6,14,0.407382206230121,1
GO:0030286,19,24,0.0010305114151803,0.830592200635324
