gene,GO
ABCE1,GO:0000054
THIM,GO:0003985
ACT.23.27.m.58454,GO:0005524
ACTC,GO:0005524
ACT.5.27.m.15585,GO:0005524
ACT1,GO:0005524
ACT3,GO:0005524
ACT.3.6.m.21571,GO:0005524
HTS,GO:0000212
KAD9.2.3.m.49697,GO:0004550
KAD9.3.3.m.63103,GO:0004550
ALF,GO:0004332
ARP3,GO:0005200
AT1A,GO:0005391
AT2B3,GO:0005388
ATPB,GO:0005524
SVEP1,GO:0005509
RS17,GO:0003735
IDHP,GO:0000287
TEKT4,GO:0030030
ARMC4,GO:0003341
GLSN,GO:0005506
PDC6I,GO:0000281
RS13,GO:0003735
EIF3D,GO:0001732
RS26,GO:0002181
RPN1,GO:0004579
CRB,GO:0001745
C1QL4,GO:0005581
CALUB,GO:0005509
CALX,GO:0005509
CRNS1,GO:0005524
CATA.1.3.m.11120,GO:0004096
CATA.3.3.m.21642,GO:0004096
CNDP2,GO:0004180
MLP,GO:0005176
TITIN.m.27774,GO:0000794
CROCC,GO:0001917
COPG2,GO:0000139
DYH7.2.3.m.32353,GO:0003341
DYH5.1.2.m.56799,GO:0003341
DYH5.2.2.m.61452,GO:0003341
DYH6,GO:0005524
DYH7.2.2.m.46648,GO:0003341
H2B7,GO:0000786
DYH1,GO:0003351
DYH2.1.1.m.28905,GO:0005524
DYHC,GO:0003777
EF1A.2.4.m.50858,GO:0003746
EF1A.1.3.m.30022,GO:0003746
EF2.4.5.m.30186,GO:0003746
EF2.5.5.m.39855,GO:0003746
ENO,GO:0000015
FAS,GO:0003697
FLNA.2.6.m.11845,GO:0000278
FLNA.2.5.m.37450,GO:0001664
FLNA.3.5.m.38669,GO:0001664
FLNC,GO:0005829
GBLP,GO:0005840
GELS2,GO:0005737
BIP,GO:0005524
HMCN1,GO:0005201
HSP7D,GO:0005524
H90A1,GO:0005524
IDLC,GO:0003774
SODC,GO:0000187
ANM1,GO:0003713
ITB1.1.1.m.59423,GO:0005925
KARG,GO:0004054
KCY,GO:0004127
KS6A3,GO:0000287
RLA2,GO:0003735
GRN,GO:0003723
TBB.1.1.m.57452,GO:0000226
PDCD5,GO:0003677
CFA45,GO:0005634
ASNS,GO:0004066
DLRB2,GO:0003774
GLYC,GO:0004372
AN32A,GO:0005634
DYH10,GO:0005524
SDCB1,GO:0002091
HYDIN.2.6.m.7640,GO:0002064
HYDIN.4.6.m.27594,GO:0002064
YD541.1.2.m.22540,GO:0016491
YD541.2.2.m.55240,GO:0016491
PRP19,GO:0000244
RPN2,GO:0006487
TEKT1,GO:0005634
SPTCB,GO:0003779
SPTN5,GO:0000165
PMFBP,GO:0001520
CFA61,GO:0003341
SSPO.3.8.m.32060,GO:0005615
SSPO.6.8.m.41866,GO:0005615
SSPO.7.8.m.41875,GO:0005615
CALR.1.3.m.35108,GO:0005509
CALR.2.3.m.36820,GO:0005509
IFEA.2.3.m.44496,GO:0005198
ITIH4.1.1.m.39091,GO:0004867
NXN,GO:0005634
DMBT1,GO:0001530
FAT4.1.1.m.65727,GO:0001658
LAMA,GO:0005102
SYNE1.1.2.m.37063,GO:0000932
SYNE1.2.2.m.54514,GO:0000932
MLRA,GO:0005509
CMC,GO:0005313
ATPD,GO:0000275
PPIA,GO:0003755
CO6A3,GO:0003429
DYH2.1.2.m.24785,GO:0005524
TBB.6.7.m.57854,GO:0003924
PCY2,GO:0004306
CATL,GO:0005764
CP135,GO:0005814
AMY1,GO:0004556
ITB1.1.1.m.21821,GO:0005925
IFEA.1.1.m.42880,GO:0005198
FKB14.1.4.m.6122,GO:0003755
FKB14.3.4.m.26463,GO:0003755
RL3,GO:0000027
ITIH4.1.1.m.39811,GO:0002576
ACT.1.1.m.53937,GO:0005524
TBA,GO:0005200
EFCB6,GO:0005509
MATN1,GO:0003429
FAT4.1.1.m.34344,GO:0001658
MLE,GO:0005509
MYO15,GO:0003774
MYS.4.7.m.18188,GO:0003774
MYS.7.7.m.44342,GO:0003774
MYSP.5.9.m.28124,GO:0003774
MYSP.8.9.m.44813,GO:0003774
PPIB,GO:0000413
SNO1,GO:0004499
ACT.1.1.m.21817,GO:0005524
OST48,GO:0006486
PAN2,GO:0000289
ACT.1.1.m.44693,GO:0005524
PCCA,GO:0004658
PCKG,GO:0004613
PDIA1,GO:0003756
PGBM,GO:0001523
UNC22.2.7.m.2274,GO:0004674
UNC22.3.7.m.20773,GO:0004674
UNC22.5.7.m.43551,GO:0004674
UNC22.7.7.m.54053,GO:0004674
LAMC1,GO:0005604
PLOD3,GO:0001701
PSMD2,GO:0000502
RCC1,GO:0000082
RL18A,GO:0000184
HEXP,GO:0003677
ROAA,GO:0000122
RS3A,GO:0003735
RS5,GO:0000028
S4A8,GO:0005452
SACS,GO:0005634
COR1B,GO:0001725
ZASP,GO:0001725
SPTCA.1.2.m.1905,GO:0003779
SPTCA.2.2.m.25615,GO:0003779
ZAN,GO:0005886
SYRC,GO:0004814
TBA3.2.9.m.9962,GO:0000226
TBA1,GO:0000226
TBA1A,GO:0000226
TBA3.1.1.m.5111,GO:0000226
TBB4,GO:0000226
TBB.1.1.m.40048,GO:0003924
TBB.1.7.m.12262,GO:0003924
TBB.7.7.m.63980,GO:0003924
TCPD,GO:0005524
UNC22.19.19.m.66288,GO:0004674
TITIN.8.19.m.35861,GO:0000794
TLN1,GO:0001726
TPP2,GO:0000209
TYRO,GO:0005576
U5S1,GO:0000398
VIGLN,GO:0003723
XRN2,GO:0000738
ZFR,GO:0003677
ABCE1,GO:0005506
THIM,GO:0003988
ACT.23.27.m.58454,GO:0005737
ACTC,GO:0005737
ACT.5.27.m.15585,GO:0005737
ACT1,GO:0005737
ACT3,GO:0005737
ACT.3.6.m.21571,GO:0005737
HTS,GO:0005198
KAD9.2.3.m.49697,GO:0005524
KAD9.3.3.m.63103,GO:0005524
ALF,GO:0006096
ARP3,GO:0005524
AT1A,GO:0005524
AT2B3,GO:0005516
ATPB,GO:0005743
SVEP1,GO:0005576
RS17,GO:0005840
IDHP,GO:0004450
TEKT4,GO:0031514
ARMC4,GO:0003356
GLSN,GO:0006541
PDC6I,GO:0000915
RS13,GO:0005730
EIF3D,GO:0002191
RS26,GO:0003735
RPN1,GO:0005791
CRB,GO:0003383
C1QL4,GO:0005615
CALUB,GO:0005576
CALX,GO:0005783
CRNS1,GO:0005829
CATA.1.3.m.11120,GO:0005777
CATA.3.3.m.21642,GO:0005777
CNDP2,GO:0005654
MLP,GO:0005509
TITIN.m.27774,GO:0002020
CROCC,GO:0003779
COPG2,GO:0005198
DYH7.2.3.m.32353,GO:0005509
DYH5.1.2.m.56799,GO:0005524
DYH5.2.2.m.61452,GO:0005524
DYH6,GO:0005858
DYH7.2.2.m.46648,GO:0003777
H2B7,GO:0003677
DYH1,GO:0003777
DYH2.1.1.m.28905,GO:0005874
DYHC,GO:0005524
EF1A.2.4.m.50858,GO:0003924
EF1A.1.3.m.30022,GO:0003924
EF2.4.5.m.30186,GO:0003924
EF2.5.5.m.39855,GO:0003924
ENO,GO:0000287
FAS,GO:0004312
FLNA.2.6.m.11845,GO:0003779
FLNA.2.5.m.37450,GO:0002576
FLNA.3.5.m.38669,GO:0002576
FLNC,GO:0005856
GBLP,GO:0030178
GELS2,GO:0005856
BIP,GO:0005788
HMCN1,GO:0005509
HSP7D,GO:0005634
H90A1,GO:0005634
IDLC,GO:0005737
SODC,GO:0000302
ANM1,GO:0005634
ITB1.1.1.m.59423,GO:0007160
KARG,GO:0005524
KCY,GO:0004550
KS6A3,GO:0001501
RLA2,GO:0005840
GRN,GO:0005125
TBB.1.1.m.57452,GO:0000278
PDCD5,GO:0005634
CFA45,GO:0005654
ASNS,GO:0005524
DLRB2,GO:0005868
GLYC,GO:0005829
AN32A,GO:0005737
DYH10,GO:0005737
SDCB1,GO:0005137
HYDIN.2.6.m.7640,GO:0003341
HYDIN.4.6.m.27594,GO:0003341
YD541.1.2.m.22540,GO:0016616
YD541.2.2.m.55240,GO:0016616
PRP19,GO:0000245
RPN2,GO:0008250
TEKT1,GO:0005737
SPTCB,GO:0005200
SPTN5,GO:0003779
PMFBP,GO:0007010
CFA61,GO:0005930
SSPO.3.8.m.32060,GO:0007155
SSPO.6.8.m.41866,GO:0007155
SSPO.7.8.m.41875,GO:0007155
CALR.1.3.m.35108,GO:0006457
CALR.2.3.m.36820,GO:0006457
IFEA.2.3.m.44496,GO:0005737
ITIH4.1.1.m.39091,GO:0005576
NXN,GO:0005829
DMBT1,GO:0003677
FAT4.1.1.m.65727,GO:0001736
LAMA,GO:0005604
SYNE1.1.2.m.37063,GO:0003723
SYNE1.2.2.m.54514,GO:0003723
MLRA,GO:0016459
CMC,GO:0005509
ATPD,GO:0005739
PPIA,GO:0005737
CO6A3,GO:0004867
DYH2.1.2.m.24785,GO:0005874
TBB.6.7.m.57854,GO:0005200
PCY2,GO:0005789
CATL,GO:0007275
CP135,GO:0007099
AMY1,GO:0005509
ITB1.1.1.m.21821,GO:0007160
IFEA.1.1.m.42880,GO:0005737
FKB14.1.4.m.6122,GO:0005509
FKB14.3.4.m.26463,GO:0005509
RL3,GO:0003735
ITIH4.1.1.m.39811,GO:0004866
ACT.1.1.m.53937,GO:0005737
TBA,GO:0005525
EFCB6,GO:0005654
MATN1,GO:0005201
FAT4.1.1.m.34344,GO:0001736
MLE,GO:0016459
MYO15,GO:0003779
MYS.4.7.m.18188,GO:0005516
MYS.7.7.m.44342,GO:0005516
MYSP.5.9.m.28124,GO:0030016
MYSP.8.9.m.44813,GO:0030016
PPIB,GO:0003755
SNO1,GO:0005576
ACT.1.1.m.21817,GO:0005737
OST48,GO:0008250
PAN2,GO:0000932
ACT.1.1.m.44693,GO:0005737
PCCA,GO:0005524
PCKG,GO:0005525
PDIA1,GO:0004656
PGBM,GO:0001525
UNC22.2.7.m.2274,GO:0005516
UNC22.3.7.m.20773,GO:0005516
UNC22.5.7.m.43551,GO:0005516
UNC22.7.7.m.54053,GO:0005516
LAMC1,GO:0007435
PLOD3,GO:0001886
PSMD2,GO:0005576
RCC1,GO:0000785
RL18A,GO:0002181
HEXP,GO:0005634
ROAA,GO:0001837
RS3A,GO:0006412
RS5,GO:0000184
S4A8,GO:0005886
SACS,GO:0005737
COR1B,GO:0005737
ZASP,GO:0001952
SPTCA.1.2.m.1905,GO:0005509
SPTCA.2.2.m.25615,GO:0005509
ZAN,GO:0007339
SYRC,GO:0005524
TBA3.2.9.m.9962,GO:0000278
TBA1,GO:0000235
TBA1A,GO:0000278
TBA3.1.1.m.5111,GO:0000278
TBB4,GO:0000278
TBB.1.1.m.40048,GO:0005200
TBB.1.7.m.12262,GO:0005200
TBB.7.7.m.63980,GO:0005200
TCPD,GO:0005815
UNC22.19.19.m.66288,GO:0005516
TITIN.8.19.m.35861,GO:0001701
TLN1,GO:0001786
TPP2,GO:0004175
TYRO,GO:0016491
U5S1,GO:0003723
VIGLN,GO:0005634
XRN2,GO:0001147
ZFR,GO:0003723
ABCE1,GO:0005524
THIM,GO:0005739
ACT.23.27.m.58454,GO:0005856
ACTC,GO:0005856
ACT.5.27.m.15585,GO:0005856
ACT1,GO:0005856
ACT3,GO:0005856
ACT.3.6.m.21571,GO:0005856
HTS,GO:0005737
KAD9.2.3.m.49697,GO:0005634
KAD9.3.3.m.63103,GO:0005634
ARP3,GO:0005634
AT1A,GO:0005886
AT2B3,GO:0005524
ATPB,GO:0015986
SVEP1,GO:0005737
RS17,GO:0006412
IDHP,GO:0005739
ARMC4,GO:0005930
GLSN,GO:0009501
PDC6I,GO:0001772
RS13,GO:0006412
EIF3D,GO:0003723
RS26,GO:0022627
RPN1,GO:0005829
CRB,GO:0005080
C1QL4,GO:0042802
CALUB,GO:0005789
CALX,GO:0005789
CRNS1,GO:0006548
CATA.1.3.m.11120,GO:0006979
CATA.3.3.m.21642,GO:0006979
CNDP2,GO:0005829
MLP,GO:0007160
TITIN.m.27774,GO:0002576
CROCC,GO:0005198
COPG2,GO:0006886
DYH7.2.3.m.32353,GO:0005524
DYH5.1.2.m.56799,GO:0005874
DYH5.2.2.m.61452,GO:0005874
DYH6,GO:0005874
DYH7.2.2.m.46648,GO:0005509
H2B7,GO:0005634
DYH1,GO:0005524
DYH2.1.1.m.28905,GO:0007018
DYHC,GO:0005737
EF1A.2.4.m.50858,GO:0005525
EF1A.1.3.m.30022,GO:0005525
EF2.4.5.m.30186,GO:0005525
EF2.5.5.m.39855,GO:0005525
ENO,GO:0004634
FAS,GO:0004313
FLNA.2.6.m.11845,GO:0005829
FLNA.2.5.m.37450,GO:0003723
FLNA.3.5.m.38669,GO:0003723
FLNC,GO:0016528
GBLP,GO:0032880
GELS2,GO:0051015
BIP,GO:0016787
HMCN1,GO:0005576
H90A1,GO:0005737
IDLC,GO:0005930
SODC,GO:0000303
ANM1,GO:0005654
ITB1.1.1.m.59423,GO:0007229
KCY,GO:0005524
KS6A3,GO:0002224
RLA2,GO:0006414
GRN,GO:0005576
TBB.1.1.m.57452,GO:0003924
PDCD5,GO:0005737
CFA45,GO:0005929
ASNS,GO:0005829
DLRB2,GO:0005874
GLYC,GO:0006544
AN32A,GO:0005783
DYH10,GO:0005874
SDCB1,GO:0005654
HYDIN.2.6.m.7640,GO:0021591
HYDIN.4.6.m.27594,GO:0021591
YD541.1.2.m.22540,GO:0033721
YD541.2.2.m.55240,GO:0033721
PRP19,GO:0000349
RPN2,GO:0016021
TEKT1,GO:0005874
SPTCB,GO:0005516
SPTN5,GO:0005088
PMFBP,GO:0007283
CFA61,GO:0031514
SSPO.3.8.m.32060,GO:0007399
SSPO.6.8.m.41866,GO:0007399
SSPO.7.8.m.41875,GO:0007399
CALR.1.3.m.35108,GO:0016529
CALR.2.3.m.36820,GO:0016529
IFEA.2.3.m.44496,GO:0005882
ITIH4.1.1.m.39091,GO:0006953
NXN,GO:0016055
DMBT1,GO:0005044
FAT4.1.1.m.65727,GO:0001822
LAMA,GO:0007411
SYNE1.1.2.m.37063,GO:0003779
SYNE1.2.2.m.54514,GO:0003779
CMC,GO:0005739
ATPD,GO:0005740
PPIA,GO:0006457
CO6A3,GO:0005581
DYH2.1.2.m.24785,GO:0007018
TBB.6.7.m.57854,GO:0005525
PCY2,GO:0006646
CATL,GO:0008234
CP135,GO:0010457
AMY1,GO:0005615
ITB1.1.1.m.21821,GO:0007229
IFEA.1.1.m.42880,GO:0005882
FKB14.1.4.m.6122,GO:0005788
FKB14.3.4.m.26463,GO:0005788
RL3,GO:0005730
ITIH4.1.1.m.39811,GO:0004867
ACT.1.1.m.53937,GO:0005856
TBA,GO:0005737
MATN1,GO:0005509
FAT4.1.1.m.34344,GO:0001822
MYO15,GO:0005516
MYS.4.7.m.18188,GO:0005524
MYS.7.7.m.44342,GO:0005524
MYSP.5.9.m.28124,GO:0032982
MYSP.8.9.m.44813,GO:0032982
PPIB,GO:0005788
SNO1,GO:0009820
ACT.1.1.m.21817,GO:0005856
OST48,GO:0016021
PAN2,GO:0003676
ACT.1.1.m.44693,GO:0005856
PCCA,GO:0005739
PCKG,GO:0006094
PDIA1,GO:0005178
PGBM,GO:0001540
UNC22.2.7.m.2274,GO:0005524
UNC22.3.7.m.20773,GO:0005524
UNC22.5.7.m.43551,GO:0005524
UNC22.7.7.m.54053,GO:0005524
LAMC1,GO:0007494
PLOD3,GO:0005506
PSMD2,GO:0005634
RCC1,GO:0000790
RL18A,GO:0003723
HEXP,GO:0008270
ROAA,GO:0003723
RS3A,GO:0022627
RS5,GO:0003723
S4A8,GO:0005887
SACS,GO:0005739
COR1B,GO:0005829
ZASP,GO:0003779
SPTCA.1.2.m.1905,GO:0005516
SPTCA.2.2.m.25615,GO:0005516
ZAN,GO:0016021
SYRC,GO:0005654
TBA3.2.9.m.9962,GO:0000281
TBA1,GO:0000278
TBA1A,GO:0003924
TBA3.1.1.m.5111,GO:0003924
TBB4,GO:0003924
TBB.1.1.m.40048,GO:0005525
TBB.1.7.m.12262,GO:0005525
TBB.7.7.m.63980,GO:0005525
TCPD,GO:0005832
UNC22.19.19.m.66288,GO:0005524
TITIN.8.19.m.35861,GO:0001756
TLN1,GO:0002576
TPP2,GO:0004177
TYRO,GO:0046872
U5S1,GO:0003924
VIGLN,GO:0005829
XRN2,GO:0004534
ZFR,GO:0003725
ABCE1,GO:0005737
THIM,GO:0006635
HTS,GO:0005856
KAD9.2.3.m.49697,GO:0005654
KAD9.3.3.m.63103,GO:0005654
ARP3,GO:0005737
AT1A,GO:0016021
AT2B3,GO:0005794
ATPB,GO:0045261
SVEP1,GO:0007155
IDHP,GO:0006097
ARMC4,GO:0007368
GLSN,GO:0010181
PDC6I,GO:0005815
RS13,GO:0022627
EIF3D,GO:0003743
RS26,GO:0042788
RPN1,GO:0008250
CRB,GO:0005509
C1QL4,GO:0045599
CALUB,GO:0005794
CALX,GO:0006457
CRNS1,GO:0010181
CATA.1.3.m.11120,GO:0020037
CATA.3.3.m.21642,GO:0020037
CNDP2,GO:0006508
MLP,GO:0010469
TITIN.m.27774,GO:0003300
CROCC,GO:0005813
COPG2,GO:0016192
DYH7.2.3.m.32353,GO:0005874
DYH5.1.2.m.56799,GO:0005930
DYH5.2.2.m.61452,GO:0005930
DYH6,GO:0007018
DYH7.2.2.m.46648,GO:0005524
H2B7,GO:0006334
DYH1,GO:0005874
DYH2.1.1.m.28905,GO:0008569
DYHC,GO:0005874
EF1A.2.4.m.50858,GO:0005737
EF1A.1.3.m.30022,GO:0005737
EF2.4.5.m.30186,GO:0005829
EF2.5.5.m.39855,GO:0005829
ENO,GO:0006096
FAS,GO:0004314
FLNA.2.6.m.11845,GO:0005886
FLNA.2.5.m.37450,GO:0005576
FLNA.3.5.m.38669,GO:0005576
FLNC,GO:0030018
GBLP,GO:0051302
GELS2,GO:0051693
HMCN1,GO:0005604
H90A1,GO:0005829
IDLC,GO:0030175
SODC,GO:0001541
ANM1,GO:0005737
ITB1.1.1.m.59423,GO:0008305
KCY,GO:0005634
KS6A3,GO:0004672
GRN,GO:0005764
TBB.1.1.m.57452,GO:0005200
PDCD5,GO:0005829
ASNS,GO:0006541
DLRB2,GO:0007018
GLYC,GO:0006563
AN32A,GO:0006913
DYH10,GO:0005929
SDCB1,GO:0005737
HYDIN.2.6.m.7640,GO:0060438
HYDIN.4.6.m.27594,GO:0060438
YD541.1.2.m.22540,GO:0050662
YD541.2.2.m.55240,GO:0050662
PRP19,GO:0000398
TEKT1,GO:0030317
SPTCB,GO:0005546
SPTN5,GO:0005737
PMFBP,GO:0097224
CFA61,GO:0044782
SSPO.3.8.m.32060,GO:0030154
SSPO.6.8.m.41866,GO:0030154
SSPO.7.8.m.41875,GO:0030154
CALR.1.3.m.35108,GO:0030246
CALR.2.3.m.36820,GO:0030246
ITIH4.1.1.m.39091,GO:0030212
NXN,GO:0030154
DMBT1,GO:0005576
FAT4.1.1.m.65727,GO:0003007
LAMA,GO:0007498
SYNE1.1.2.m.37063,GO:0005521
SYNE1.2.2.m.54514,GO:0005521
CMC,GO:0005743
ATPD,GO:0005743
CO6A3,GO:0005615
DYH2.1.2.m.24785,GO:0008569
TBB.6.7.m.57854,GO:0005737
PCY2,GO:0008654
CATL,GO:0030154
AMY1,GO:0009617
ITB1.1.1.m.21821,GO:0008305
RL3,GO:0006412
ITIH4.1.1.m.39811,GO:0005576
TBA,GO:0005874
MATN1,GO:0005576
FAT4.1.1.m.34344,GO:0003007
MYO15,GO:0005524
MYS.4.7.m.18188,GO:0030016
MYS.7.7.m.44342,GO:0030016
PPIB,GO:0016018
SNO1,GO:0033784
OST48,GO:0018279
PAN2,GO:0004535
PCCA,GO:0005759
PCKG,GO:0046872
PDIA1,GO:0005783
PGBM,GO:0005178
UNC22.2.7.m.2274,GO:0005865
UNC22.3.7.m.20773,GO:0005865
UNC22.5.7.m.43551,GO:0005865
UNC22.7.7.m.54053,GO:0005865
LAMC1,GO:0033627
PLOD3,GO:0005615
PSMD2,GO:0005654
RCC1,GO:0000794
RL18A,GO:0003735
ROAA,GO:0005634
RS5,GO:0003729
S4A8,GO:0008510
SACS,GO:0006457
COR1B,GO:0005884
ZASP,GO:0005915
SPTCA.1.2.m.1905,GO:0005794
SPTCA.2.2.m.25615,GO:0005794
ZAN,GO:0098609
SYRC,GO:0005829
TBA3.2.9.m.9962,GO:0003924
TBA1,GO:0003924
TBA1A,GO:0005200
TBA3.1.1.m.5111,GO:0005200
TBB4,GO:0005200
TBB.1.1.m.40048,GO:0005737
TBB.1.7.m.12262,GO:0005737
TBB.7.7.m.63980,GO:0005737
TCPD,GO:0005929
UNC22.19.19.m.66288,GO:0005865
TITIN.8.19.m.35861,GO:0002020
TLN1,GO:0005178
TPP2,GO:0004252
U5S1,GO:0005525
VIGLN,GO:0005886
XRN2,GO:0005730
ZFR,GO:0003727
ABCE1,GO:0005739
THIM,GO:0071456
HTS,GO:0005886
KAD9.2.3.m.49697,GO:0005737
KAD9.3.3.m.63103,GO:0005737
ARP3,GO:0005885
AT1A,GO:0046872
AT2B3,GO:0005886
ATPB,GO:0046933
SVEP1,GO:0016020
IDHP,GO:0006099
ARMC4,GO:0007507
GLSN,GO:0016040
PDC6I,GO:0005829
RS13,GO:0045202
EIF3D,GO:0005852
RS26,GO:0098556
RPN1,GO:0016021
CRB,GO:0005737
C1QL4,GO:0048147
CALUB,GO:0033018
CALX,GO:0016021
CRNS1,GO:0016887
CATA.1.3.m.11120,GO:0042744
CATA.3.3.m.21642,GO:0042744
CNDP2,GO:0008233
MLP,GO:0010669
TITIN.m.27774,GO:0004674
CROCC,GO:0005814
COPG2,GO:0030126
DYH7.2.3.m.32353,GO:0007018
DYH5.1.2.m.56799,GO:0007018
DYH5.2.2.m.61452,GO:0007018
DYH6,GO:0008569
DYH7.2.2.m.46648,GO:0005829
H2B7,GO:0044877
DYH1,GO:0005930
DYH2.1.1.m.28905,GO:0030286
DYHC,GO:0007018
EF1A.2.4.m.50858,GO:0006412
EF1A.1.3.m.30022,GO:0006412
EF2.4.5.m.30186,GO:0006414
EF2.5.5.m.39855,GO:0006414
FAS,GO:0004315
FLNA.2.6.m.11845,GO:0007301
FLNA.2.5.m.37450,GO:0005634
FLNA.3.5.m.38669,GO:0005634
FLNC,GO:0030506
GBLP,GO:2000114
HMCN1,GO:0005913
H90A1,GO:0005886
IDLC,GO:0030286
SODC,GO:0001819
ANM1,GO:0005829
ITB1.1.1.m.59423,GO:0009986
KCY,GO:0005737
KS6A3,GO:0004674
GRN,GO:0005768
TBB.1.1.m.57452,GO:0005525
PDCD5,GO:0006915
ASNS,GO:0042149
DLRB2,GO:0036157
GLYC,GO:0019264
AN32A,GO:0048471
DYH10,GO:0007018
SDCB1,GO:0005789
HYDIN.2.6.m.7640,GO:1904158
HYDIN.4.6.m.27594,GO:1904158
YD541.1.2.m.22540,GO:1901426
YD541.2.2.m.55240,GO:1901426
PRP19,GO:0000974
TEKT1,GO:0036126
SPTCB,GO:0005886
SPTN5,GO:0005815
CALR.1.3.m.35108,GO:0033018
CALR.2.3.m.36820,GO:0033018
ITIH4.1.1.m.39091,GO:0034097
NXN,GO:0030178
DMBT1,GO:0005615
FAT4.1.1.m.65727,GO:0005509
LAMA,GO:0007507
SYNE1.1.2.m.37063,GO:0005634
SYNE1.2.2.m.54514,GO:0005634
CMC,GO:0006839
ATPD,GO:0005753
CO6A3,GO:0007155
DYH2.1.2.m.24785,GO:0030286
TBB.6.7.m.57854,GO:0005874
AMY1,GO:0016052
ITB1.1.1.m.21821,GO:0009986
RL3,GO:0022625
ITIH4.1.1.m.39811,GO:0005886
TBA,GO:0007017
MATN1,GO:0005615
FAT4.1.1.m.34344,GO:0005509
MYO15,GO:0005737
MYS.4.7.m.18188,GO:0032982
MYS.7.7.m.44342,GO:0032982
PPIB,GO:0032991
SNO1,GO:0050660
PAN2,GO:0005634
PCCA,GO:0019899
PDIA1,GO:0005788
PGBM,GO:0005509
UNC22.2.7.m.2274,GO:0006936
UNC22.3.7.m.20773,GO:0006936
UNC22.5.7.m.43551,GO:0006936
UNC22.7.7.m.54053,GO:0006936
LAMC1,GO:0034446
